0.0009765625	0.489	52.208836839728036	51.60499385425446
0.001953125	0.611	50.19250244036026	55.23485816356292
0.00390625	0.485	53.14274614748666	52.30096296629203
0.0078125	0.621	50.909061738293566	54.472040846223365
0.015625	0.796	45.33376672533792	55.43253069103306
0.03125	0.487	52.15503374950127	51.483056147167126
0.0625	0.818	42.26028923628624	53.63185133620398
0.125	0.545	49.03153140118995	50.55189761004343
0.25	0.609	50.11807102809308	53.347786983440315
0.5	0.529	49.51528065071848	51.58752761896898
