0.0009765625	0.726	0.727	0.675	0.674	0.369	0.375	0.481	0.485	0.452
0.001953125	0.62	0.617	0.537	0.538	0.492	0.5	0.676	0.701	0.666
0.00390625	0.691	0.712	0.633	0.628	0.431	0.444	0.59	0.597	0.857
0.0078125	0.564	0.558	0.488	0.495	0.181	0.197	0.522	0.545	0.801
0.015625	0.523	0.524	0.745	0.739	0.633	0.659	0.66	0.653	0.585
0.03125	0.603	0.62	0.51	0.519	0.468	0.475	0.644	0.651	0.645
0.0625	0.657	0.643	0.557	0.554	0.382	0.392	0.63	0.644	0.546
0.125	0.764	0.75	0.599	0.605	0.514	0.526	0.55	0.562	0.504
0.25	0.754	0.763	0.615	0.656	0.606	0.613	0.49	0.488	0.462
0.5	0.331	0.317	0.537	0.545	0.483	0.495	0.579	0.609	0.673
